"Date","sp500","dowjones","nasdaq","bitcoin","ethereum"
2023-10-15,4224.16,48.99,12983.81,29912.9,1628.94
2023-10-22,4117.37,48.11,12643.01,34082.6,1776.21
2023-10-29,4358.34,49.73,13478.28,35065.8,1855.72
2023-11-05,4415.24,49.48,13798.11,37150.5,2053.42
2023-11-12,4514.02,51.7,14125.48,36568.6,1961.72
2023-11-19,4559.34,51.67,14250.86,37787,2083.09
2023-11-26,4594.63,52.3,14305.03,39458.4,2164.79
2023-12-03,4604.37,50.92,14403.97,43718.4,2340.55
2023-12-10,4719.19,54.24,14813.92,42271.7,2229.07
2023-12-17,4754.63,55.12,14992.97,43710.4,2308.61
2023-12-24,4769.83,54.84,15011.35,42136.7,2291.7
2023-12-31,4697.24,54.82,14524.07,43967.9,2240.49
2024-01-07,4783.83,53.37,14972.76,42851.3,2578.36
2024-01-14,4839.81,52.81,15310.97,41695.4,2472.03
2024-01-21,4890.97,54.06,15455.36,42120.9,2267.91
2024-01-28,4958.61,53.42,15628.95,43005.7,2296.5
2024-02-04,5026.61,53.99,15990.66,47758.2,2500.28
2024-02-11,5005.57,55.48,15775.65,51646,2785.9
2024-02-18,5088.8,56.39,15996.82,51571.6,2992.29
2024-02-25,5137.08,55.77,16274.94,61994.5,3420.64
2024-03-03,5123.69,56.61,16085.11,68366.5,3905.17
2024-03-10,5117.09,57.04,15973.17,65314.2,3523.68
2024-03-17,5234.18,57.68,16428.82,64037.8,3332.9
2024-03-24,5254.35,57.93,16379.46,69611.5,3506.83
2024-03-31,5204.34,59.69,16248.52,68890.6,3352.03
2024-04-07,5123.41,57.69,16175.09,63849.9,3004.44
2024-04-14,4967.23,56.66,15282.01,64961.1,3156.63
2024-04-21,5099.96,57.29,15927.9,63456.8,3255.57
2024-04-28,5127.79,57.04,16156.33,63888.3,3117.23
2024-05-05,5222.68,59.41,16340.87,60826.6,2912.56
2024-05-12,5303.27,59.19,16685.97,66917.5,3122.87
2024-05-19,5304.72,57.76,16920.79,69284.4,3749.28
2024-05-26,5277.51,57.63,16735.02,67760.8,3815.95
2024-06-02,5346.99,55.73,17133.13,69310.1,3681.59
2024-06-09,5431.6,55.02,17688.88,66223,3568.72
2024-06-16,5464.62,53.99,17689.36,64261,3495.87
2024-06-23,5460.48,53.05,17732.6,60973.4,3378.6
2024-06-30,5567.19,52.23,18352.76,58259.2,3068.79
2024-07-07,5615.35,52.91,18398.45,59209.8,3175.1
2024-07-14,5505,53.9,17726.94,67148.5,3517.04
2024-07-21,5459.1,52.86,17357.88,67843.1,3247.06
2024-07-28,5346.56,52.01,16776.16,60696.7,2904.59
2024-08-04,5344.16,52.66,16745.3,60931.7,2610.24
2024-08-11,5554.25,53.91,17631.72,59483.1,2614.35
2024-08-18,5634.61,53.53,17877.79,64159.3,2768.49
2024-08-25,5648.4,53.58,17713.62,58978.6,2513.56
2024-09-01,5408.42,50.68,16690.83,54156.5,2274.87
2024-09-08,5626.02,50.15,17683.98,59995.4,2417.56
2024-09-15,5702.55,51.71,17948.32,63348.1,2613.35
2024-09-22,5738.17,55.08,18119.59,65866.5,2675.71
2024-09-29,5751.07,55.34,18137.85,62061.4,2414.98
2024-10-06,5815.03,53.78,18342.94,63205.1,2476.48
2024-10-13,5864.67,53.11,18489.55,68372,2647.39
2024-10-20,5808.12,49.7,18518.61,67086.8,2482.52
2024-10-27,5728.8,48.97,18239.92,69325.8,2492.45
2024-11-03,5995.54,46.49,19286.78,76700.3,3127.69
2024-11-10,5870.62,44.04,18680.12,90539.1,3132
2024-11-17,5969.34,45.46,19003.65,97699,3393.91
2024-11-24,6032.38,44.21,19218.17,96405.7,3702.97
2024-12-01,6090.27,41.99,19859.77,99837,3996.24
2024-12-08,6051.09,40.86,19926.72,101417.7,3871.13
2024-12-15,5930.85,39.94,19572.6,97253.3,3338.66
2024-12-22,5970.84,40.03,19722.03,95284.5,3404.59
2024-12-29,5942.47,39.4,19621.68,98219.9,3656.13
